# z[m]=zi*speed_c*beta    Wtr/Z_0/L[1/(m^2*s]          Wz_l/Z_0/L[1/(ms)]                     
       -0.0171212               -12728200           84397.9      
       -0.01592               -13128300             83659.5      
       -0.0147624               -13510400           82851.7      
       -0.0136485               -13874300             81986      
       -0.0125783               -14220100           81073.5      
       -0.0115518               -14548000           80124.8      
       -0.0105689               -14858100           79149.8      
       -0.00962974               -15150800          78158.2      
       -0.00873426               -15426200          77158.8      
       -0.00788245               -15684700          76160.1      
       -0.00707433               -15926700            75170      
       -0.0063099               -16152500           74195.8      
       -0.00558914               -16362700          73244.2      
       -0.00491206               -16557500          72321.7      
       -0.00427867               -16737400          71433.9      
       -0.00368896               -16902800          70586.1      
       -0.00314293               -17054100          69783.2      
       -0.00264059               -17191700          69029.5      
       -0.00218193               -17316000          68328.9      
       -0.00176695               -17427300          67685.1      
       -0.00139565               -17526000          67100.9      
       -0.00106803               -17612300          66579.3      
       -0.000784096               -17686500         66122.6      
       -0.000543843               -17748900         65732.9      
       -0.000347274               -17799700         65411.7      
       -0.000194386               -17839000         65160.5      
       -8.51803e-05               -17867000         64980.3      
       -1.9657e-05               -17883700          64871.9      
       2.18411e-06               -17889300          64835.7      
       2.40252e-05               -17894900          64799.5      
       8.95485e-05               -17911600          64690.7      
       0.000198754               -17939300          64508.9      
       0.000351642               -17978100          64253.4      
       0.000548212               -18027600          63923.1      
       0.000788464               -18087900          63516.8      
       0.0010724               -18158500            63032.8      
       0.00140001               -18239400           62469.4      
       0.00177131               -18330100           61824.5      
       0.00218629               -18430200           61095.8      
       0.00264496               -18539500           60280.9      
       0.0031473               -18657500            59377.1      
       0.00369333               -18783500           58381.6      
       0.00428304               -18917100           57291.4      
       0.00491643               -19057700           56103.7      
       0.00559351               -19204500           54815.3      
       0.00631426               -19356800           53423.3      
       0.0070787               -19513900            51924.6      
       0.00788682               -19674700           50316.4      
       0.00873863               -19838400             48596      
       0.00963411               -20004000           46760.8      
       0.0105733               -20170400            44808.6      
       0.0115561               -20336400            42737.5      
       0.0125827               -20500800            40546.1      
       0.0136529               -20662200            38233.4      
       0.0147668               -20819500              35799      
       0.0159243               -20971000            33243.2      
       0.0171256               -21115400              30567      
       0.0183706               -21251000            27772.2      
       0.0196592               -21376300            24861.6      
       0.0209915               -21489700              21839      
       0.0223675               -21589500            18709.1      
       0.0237871               -21673900            15478.2      
       0.0252505               -21741300            12153.2      
       0.0267575               -21789900               8743      
       0.0283083               -21818200            5257.37      
       0.0299027               -21824300            1707.72      
       0.0315407               -21806700           -1893.09      
       0.0332225               -21763900           -5530.74      
       0.034948               -21694300             -9189.4      
       0.0367171               -21596800           -12851.8      
       0.0385299               -21469900           -16499.1      
       0.0403864               -21312800           -20111.3      
       0.0422866               -21124600           -23666.9      
       0.0442304               -20904600           -27143.3      
       0.046218               -20652400            -30516.9      
       0.0482492               -20367900           -33763.3      
       0.0503241               -20051200           -36857.4      
       0.0524427               -19702800           -39773.6      
       0.0546049               -19323400           -42486.5      
       0.0568109               -18914100           -44970.8      
       0.0590605               -18476500           -47201.6      
       0.0613538               -18012400           -49155.3      
       0.0636908               -17524000           -50809.4      
       0.0660715               -17013900           -52143.4      
       0.0684959               -16485000           -53138.7      
       0.0709639               -15940700           -53779.8      
       0.0734757               -15384600           -54054.1      
       0.0760311               -14820700           -53952.7      
       0.0786302               -14253100           -53470.6      
       0.0812729               -13686300           -52607.2      
       0.0839594               -13125000           -51366.9      
       0.0866895               -12573700           -49758.7      
       0.0894633               -12037400           -47797.3      
       0.0922808               -11520600           -45502.5      
       0.095142               -11028100            -42899.8      
       0.0980469               -10564100             -40020      
       0.100995               -10132800              -36899      
       0.103988               -9737920             -33577.9      
       0.107024               -9382720             -30102.1      
       0.110103               -9069870             -26520.9      
       0.113226               -8801430               -22887      
       0.116393               -8578720             -19255.3      
       0.119604               -8402290             -15682.1      
       0.122858               -8271870             -12224.1      
       0.126156               -8186300             -8937.21      
       0.129498               -8143560              -5875.1      
       0.132883               -8140770             -3088.13      
       0.136313               -8174150              -621.92      
       0.139785               -8239190              1483.89      
       0.143302               -8330620              3196.88      
       0.146862               -8442550              4492.99      
       0.150466               -8568620              5357.49      
       0.154113               -8702100              5785.74      
       0.157804               -8836100              5783.78      
       0.161539               -8963720              5368.58      
       0.165318               -9078260              4568.04      
       0.16914               -9173410                3420.6      
       0.173006               -9243460              1974.57      
       0.176915               -9283490              287.033      
       0.180868               -9289530             -1577.55      
       0.184865               -9258750             -3549.07      
       0.188906               -9189560             -5553.85      
       0.19299               -9081710              -7516.87      
       0.197118               -8936350             -9364.27      
       0.20129               -8756020              -11025.9      
       0.205505               -8544580             -12437.8      
       0.209764               -8307140             -13544.9      
       0.214067               -8049910             -14303.1      
       0.218413               -7779940             -14681.3      
       0.222803               -7504940             -14662.9      
       0.227237               -7232920             -14247.3      
       0.231714               -6971930             -13449.6      
