# z[m]                Wz_trx/Z_0/L[1/(m^2*s]           Wz_try/Z_0/L[1/(m^2*s]       Wz_l/Z_0/L[1/(ms)]
         36.0127              -1.57537e+08                -3.40292e+07                           -365537    
         36.4789              -1.54159e+08                -3.14232e+07                           -165158    
         36.9481              -1.51856e+08                -3.08838e+07                           -267239    
         37.4202              -1.50531e+08                -3.22167e+07                           -178943    
         37.8954              -1.47336e+08                -2.97285e+07                           -292850    
         38.3736              -1.45117e+08                -2.91142e+07                           -154311    
         38.8548              -1.43895e+08                -3.04171e+07                           -193851    
         39.3389              -1.40779e+08                -2.78561e+07                           -321407    
         39.8261              -1.38678e+08                -2.72509e+07                           -268071    
         40.3162              -1.37479e+08                -2.83809e+07                           -287067    
         40.8094              -1.34683e+08                 -2.6246e+07                           -241180    
         41.3056              -1.32826e+08                -2.59212e+07                           -295597    
         41.8047              -1.31128e+08                -2.58496e+07                           -290272    
         42.3069              -1.29431e+08                -2.57145e+07                           -231298    
          42.812              -1.27851e+08                -2.57534e+07                          -260740     
         43.3202              -1.25413e+08                -2.40113e+07                               0
         43.8313              -1.24629e+08                -2.55209e+07                               0
         44.3455              -1.22841e+08                -2.49619e+07                               0
         44.8626              -1.21026e+08                -2.42935e+07                               0
         45.3827              -1.18908e+08                -2.29626e+07                               0
         45.9059              -1.17019e+08                -2.20351e+07                               0
          46.432              -1.15937e+08                -2.26696e+07                               0
         46.9611              -1.14123e+08                -2.17898e+07                               0
         47.4933              -1.12994e+08                -2.22288e+07                               0
         48.0284              -1.10994e+08                -2.08747e+07                               0
         48.5665              -1.10052e+08                -2.15913e+07                               0
         49.1077              -1.08159e+08                -2.03569e+07                               0
         49.6518              -1.07161e+08                -2.08677e+07                               0
         50.1989              -1.05291e+08                 -1.9589e+07                               0
          50.749              -1.04403e+08                -2.02323e+07                               0
         51.3021              -1.02705e+08                -1.92115e+07                               0
         51.8582              -1.01463e+08                -1.90595e+07                               0
         52.4174              -9.97664e+07                -1.79591e+07                               0
         52.9795              -9.86594e+07                -1.79979e+07                               0
         53.5446              -9.79887e+07                -1.88704e+07                               0
         54.1127              -9.66765e+07                -1.84214e+07                               0
         54.6838              -9.55932e+07                -1.83929e+07                               0
         55.2579              -9.37447e+07                -1.67968e+07                               0
          55.835              -9.31445e+07                -1.76625e+07                               0
         56.4151              -9.18533e+07                -1.71108e+07                               0
         56.9982              -9.02537e+07                -1.59079e+07                               0
         57.5843              -8.93359e+07                -1.60355e+07                               0
         58.1734              -8.81492e+07                -1.55924e+07                               0
         58.7655              -8.72797e+07                -1.57519e+07                               0
         59.3606              -8.59271e+07                -1.49135e+07                               0
         59.9586              -8.48768e+07                -1.46491e+07                               0
         60.5597               -8.4358e+07                 -1.5418e+07                               0
         61.1638              -8.28574e+07                -1.41932e+07                               0
         61.7709              -8.18774e+07                -1.39814e+07                               0
          62.381              -8.14323e+07                -1.48113e+07                               0
          62.994              -7.99679e+07                -1.35742e+07                               0
         63.6101              -7.90413e+07                -1.33861e+07                               0
         64.2292              -7.85152e+07                 -1.3973e+07                               0
         64.8513              -7.72669e+07                -1.30886e+07                               0
         65.4763              -7.64313e+07                -1.30048e+07                               0
         66.1044              -7.56046e+07                -1.29136e+07                               0
         66.7355              -7.48824e+07                -1.30073e+07                               0
         67.3695              -7.41592e+07                -1.30749e+07                               0
         68.0066              -7.29222e+07                -1.20909e+07                               0
         68.6466              -7.27126e+07                -1.31397e+07                               0
         69.2897              -7.19222e+07                -1.30039e+07                               0
         69.9357              -7.08688e+07                -1.23197e+07                               0
         70.5848              -7.01032e+07                -1.21898e+07                               0
         71.2368                -6.913e+07                -1.16231e+07                               0
         71.8919              -6.87456e+07                -1.22138e+07                               0
         72.5499              -6.74604e+07                -1.09818e+07                               0
          73.211              -6.68815e+07                -1.11428e+07                               0
          73.875              -6.59895e+07                -1.06576e+07                               0
          74.542              -6.58534e+07                -1.16656e+07                               0
         75.2121              -6.50921e+07                -1.14041e+07                               0
         75.8851              -6.44353e+07                -1.13328e+07                               0
         76.5611               -6.3229e+07                -1.01438e+07                               0
         77.2402                -6.259e+07                -1.00721e+07                               0
         77.9222              -6.18854e+07                -9.85166e+06                               0
         78.6072               -6.1774e+07                -1.08009e+07                               0
         79.2953              -6.09967e+07                -1.04009e+07                               0
         79.9863                -6.049e+07                -1.05258e+07                               0
         80.6803              -5.93563e+07                -9.37994e+06                               0
         81.3773               -5.9054e+07                -9.88136e+06                               0
         82.0773              -5.82672e+07                -9.39795e+06                               0
         82.7803              -5.77777e+07                -9.49397e+06                               0
         83.4864              -5.69248e+07                -8.84762e+06                               0
         84.1954              -5.63938e+07                -8.83063e+06                               0
         84.9074                -5.629e+07                 -9.6539e+06                               0
         85.6224               -5.5469e+07                 -9.0278e+06                               0
         86.3404              -5.50127e+07                -9.11727e+06                               0
         87.0614              -5.44298e+07                 -8.9396e+06                               0
         87.7854              -5.40418e+07                -9.13835e+06                               0
         88.5124              -5.35288e+07                -9.07367e+06                               0
         89.2424              -5.26357e+07                -8.23553e+06                               0
         89.9754              -5.24807e+07                -8.86133e+06                               0
         90.7114              -5.19592e+07                -8.74093e+06                               0
         91.4503              -5.10336e+07                -7.79981e+06                               0
         92.1923              -5.09422e+07                -8.51543e+06                               0
         92.9373              -5.04502e+07                -8.41756e+06                               0
         93.6853              -4.95686e+07                -7.52846e+06                               0
         94.4363              -4.94965e+07                -8.24736e+06                               0
         95.1903              -4.90295e+07                 -8.1648e+06                               0
         95.9472              -4.82376e+07                -7.42105e+06                               0
         96.7072              -4.80911e+07                -7.95755e+06                               0
         97.4702              -4.76073e+07                -7.80822e+06                               0
         98.2361              -4.70679e+07                -7.53714e+06                               0
         99.0051              -4.65883e+07                -7.37519e+06                               0
         99.7771              -4.60594e+07                -7.10428e+06                               0
         100.552              -4.58863e+07                -7.53511e+06                               0
          101.33              -4.50462e+07                -6.62159e+06                               0
         102.111              -4.46163e+07                -6.51891e+06                               0
         102.895              -4.43589e+07                -6.75176e+06                               0
         103.682               -4.3981e+07                -6.73406e+06                               0
         104.472                -4.372e+07                -6.94087e+06                               0
         105.265              -4.30637e+07                -6.34776e+06                               0
         106.061              -4.29896e+07                -6.91029e+06                               0
          106.86              -4.24607e+07                -6.55406e+06                               0
         107.662              -4.22445e+07                 -6.8148e+06                               0
         108.467              -4.14664e+07                -5.94261e+06                               0
         109.275              -4.12003e+07                -6.08648e+06                               0
         110.085              -4.07275e+07                -5.80838e+06                               0
         110.899              -4.07606e+07                 -6.5343e+06                               0
         111.716              -4.02806e+07                -6.22558e+06                               0
         112.536              -4.00385e+07                -6.38489e+06                               0
         113.359              -3.93223e+07                -5.58787e+06                               0
         114.185              -3.91739e+07                -5.91915e+06                               0
         115.014              -3.86922e+07                 -5.5759e+06                               0
         115.846              -3.85429e+07                -5.89035e+06                               0
         116.681              -3.79798e+07                -5.36957e+06                               0
         117.519              -3.77416e+07                 -5.4916e+06                               0
          118.36              -3.76235e+07                -5.84679e+06                               0
         119.204              -3.72927e+07                -5.76957e+06                               0
         120.051              -3.70222e+07                -5.80578e+06                               0
           120.9              -3.64186e+07                -5.16896e+06                               0
         121.753              -3.63745e+07                -5.64491e+06                               0
         122.609               -3.6022e+07                -5.49709e+06                               0
         123.468              -3.54415e+07                -4.88661e+06                               0
          124.33              -3.53206e+07                -5.18943e+06                               0
         125.195              -3.49852e+07                -5.05666e+06                               0
         126.063              -3.46207e+07                -4.85944e+06                               0
         126.934              -3.43536e+07                -4.85119e+06                               0
         127.808              -3.40559e+07                 -4.7755e+06                               0
         128.685              -3.38061e+07                -4.78964e+06                               0
         129.564               -3.3491e+07                -4.66751e+06                               0
         130.447               -3.3223e+07                -4.63361e+06                               0
         131.333              -3.29585e+07                -4.60121e+06                               0
         132.222              -3.27177e+07                 -4.6105e+06                               0
         133.114              -3.24819e+07                -4.62437e+06                               0
         134.009              -3.20998e+07                -4.34015e+06                               0
         134.907              -3.20417e+07                -4.69872e+06                               0
         135.808              -3.18301e+07                -4.74492e+06                               0
         136.712              -3.13361e+07                  -4.221e+06                               0
         137.618              -3.13818e+07                -4.77171e+06                               0
         138.528              -3.11224e+07                -4.70672e+06                               0
         139.441              -3.07838e+07                -4.47854e+06                               0
         140.357              -3.05058e+07                -4.36652e+06                               0
         141.276              -3.01739e+07                -4.14192e+06                               0
         142.198              -3.01341e+07                -4.49687e+06                               0
         143.123              -2.96241e+07                -3.90645e+06                               0
          144.05              -2.94579e+07                -3.99925e+06                               0
         144.981               -2.9165e+07                -3.83388e+06                               0
         145.915              -2.92134e+07                -4.34694e+06                               0
         146.852              -2.89957e+07                -4.32312e+06                               0
         147.792              -2.87393e+07                -4.21742e+06                               0
         148.735              -2.83173e+07                -3.77615e+06                               0
         149.681              -2.80519e+07                -3.64384e+06                               0
         150.629              -2.78852e+07                -3.70477e+06                               0
         151.581                -2.787e+07                -4.06468e+06                               0
         152.536              -2.76903e+07                -4.09134e+06                               0
         153.494               -2.7473e+07                -4.03882e+06                               0
         154.455              -2.70059e+07                -3.48239e+06                               0
         155.419              -2.68618e+07                 -3.5683e+06                               0
         156.385              -2.65998e+07                -3.41444e+06                               0
         157.355              -2.66497e+07                -3.88081e+06                               0
         158.328              -2.62736e+07                -3.49116e+06                               0
         159.304              -2.61591e+07                -3.62108e+06                               0
         160.283              -2.59959e+07                -3.64996e+06                               0
         161.265              -2.58828e+07                -3.77534e+06                               0
         162.249              -2.57008e+07                -3.75918e+06                               0
         163.237              -2.52625e+07                -3.22686e+06                               0
         164.228              -2.52763e+07                -3.59562e+06                               0
         165.222              -2.50541e+07                -3.48866e+06                               0
         166.219              -2.47081e+07                -3.13044e+06                               0
         167.218              -2.46246e+07                -3.29424e+06                               0
         168.221              -2.44226e+07                -3.21762e+06                               0
         169.227              -2.42237e+07                -3.14401e+06                               0
         170.236              -2.40445e+07                -3.10645e+06                               0
         171.248              -2.38667e+07                 -3.0686e+06                               0
         172.262              -2.37226e+07                -3.09502e+06                               0
          173.28              -2.35309e+07                -3.02291e+06                               0
         174.301               -2.3373e+07                -3.01549e+06                               0
