 # z[m]                Wz_trx/Z_0/L[1/(m^2*s]           Wz_try/Z_0/L[1/(m^2*s]       Wz_l/Z_0/L[1/(ms)]
         43.8313                -7.7055e+07             -2.37298e+07             0
         44.3455               -7.05491e+07             -1.24434e+07             0
         44.8626               -7.26426e+07             -1.83343e+07             0
         45.3827               -7.30572e+07             -2.08337e+07             0
         45.9059                -6.7405e+07             -1.11621e+07             0
          46.432               -6.86099e+07              -1.5183e+07             0
         46.9611               -7.09653e+07             -2.14765e+07             0
         47.4933               -6.84634e+07             -1.80212e+07             0
         48.0284               -6.46164e+07             -1.18461e+07             0
         48.5665               -6.28282e+07             -9.76389e+06             0
         49.1077               -6.28289e+07             -1.12351e+07             0
         49.6518               -6.32267e+07             -1.34749e+07             0
         50.1989               -6.32494e+07             -1.49385e+07             0
          50.749               -6.27378e+07             -1.53081e+07             0
         51.3021               -6.17142e+07             -1.46287e+07             0
         51.8582               -6.01879e+07             -1.29196e+07             0
         52.4174               -5.82908e+07             -1.04452e+07             0
         52.9795               -5.66465e+07             -8.45387e+06             0
         53.5446               -5.64556e+07             -9.34867e+06             0
         54.1127                 -5.819e+07              -1.4075e+07             0
         54.6838               -5.93092e+07             -1.75489e+07             0
         55.2579                -5.6351e+07             -1.28423e+07             0
          55.835               -5.31423e+07             -7.61387e+06             0
         56.4151               -5.58262e+07             -1.41578e+07             0
         56.9982               -5.53812e+07             -1.44211e+07             0
         57.5843                -5.1247e+07             -7.28189e+06             0
         58.1734               -5.49429e+07              -1.5794e+07             0
         58.7655               -5.06164e+07             -8.23327e+06             0
         59.3606               -5.28394e+07             -1.37614e+07             0
         59.9586               -4.96959e+07             -8.53291e+06             0
         60.5597               -5.19864e+07             -1.41613e+07             0
         61.1638               -4.77128e+07             -6.63723e+06             0
         61.7709               -5.12119e+07             -1.46512e+07             0
          62.381               -4.77698e+07             -8.75839e+06             0
          62.994               -4.68091e+07             -7.81569e+06             0
         63.6101               -4.94691e+07             -1.41032e+07             0
         64.2292               -4.73238e+07              -1.0759e+07             0
         64.8513               -4.44432e+07             -5.92859e+06             0
         65.4763               -4.48039e+07             -7.57028e+06             0
         66.1044               -4.63403e+07             -1.15503e+07             0
         66.7355               -4.67863e+07             -1.33342e+07             0
         67.3695               -4.60697e+07             -1.27778e+07             0
         68.0066               -4.49727e+07             -1.14467e+07             0
         68.6466               -4.40383e+07             -1.04281e+07             0
         69.2897               -4.34558e+07             -1.01004e+07             0
         69.9357               -4.32416e+07             -1.04975e+07             0
         70.5848               -4.32981e+07             -1.14238e+07             0
         71.2368                -4.3289e+07             -1.22065e+07             0
         71.8919               -4.25516e+07             -1.15199e+07             0
         72.5499               -4.06054e+07             -8.40262e+06             0
          73.211               -3.84802e+07             -4.91535e+06             0
          73.875               -3.86835e+07             -6.07675e+06             0
          74.542               -4.07455e+07             -1.09467e+07             0
         75.2121               -3.94878e+07             -9.16259e+06             0
         75.8851               -3.67036e+07             -4.31273e+06             0
         76.5611               -3.91239e+07             -9.86762e+06             0
         77.2402               -3.77226e+07             -7.76478e+06             0
         77.9222               -3.63034e+07             -5.61584e+06             0
         78.6072               -3.81763e+07             -1.00453e+07             0
         79.2953               -3.50349e+07             -4.43025e+06             0
         79.9863               -3.74313e+07             -9.88804e+06             0
         80.6803               -3.47069e+07             -5.08858e+06             0
         81.3773               -3.56254e+07             -7.57045e+06             0
         82.0773               -3.57928e+07             -8.53985e+06             0
         82.7803               -3.30514e+07              -3.6796e+06             0
         83.4864               -3.51819e+07             -8.56016e+06             0
         84.1954               -3.49457e+07             -8.69579e+06             0
         84.9074               -3.23508e+07             -4.10316e+06             0
         85.6224               -3.21489e+07             -4.29088e+06             0
         86.3404               -3.35411e+07             -7.66084e+06             0
         87.0614                -3.4095e+07             -9.34498e+06             0
         87.7854               -3.34555e+07             -8.63316e+06             0
         88.5124               -3.24011e+07              -7.0834e+06             0
         89.2424               -3.15038e+07             -5.84043e+06             0
         89.9754                -3.0919e+07              -5.2155e+06             0
         90.7114                -3.0635e+07             -5.18517e+06             0
         91.4503               -3.06465e+07             -5.73905e+06             0
         92.1923               -3.09429e+07             -6.85618e+06             0
         92.9373               -3.13252e+07             -8.13821e+06             0
         93.6853               -3.12051e+07             -8.40797e+06             0
         94.4363               -2.99373e+07             -6.37452e+06             0
         95.1903               -2.81346e+07             -3.26372e+06             0
         95.9472                -2.8082e+07             -3.64875e+06             0
         96.7072               -2.98125e+07             -7.59589e+06             0
         97.4702               -2.89343e+07             -6.31638e+06             0
         98.2361               -2.68537e+07             -2.62437e+06             0
         99.0051               -2.89005e+07              -7.1859e+06             0
         99.7771               -2.74642e+07             -4.77131e+06             0
         100.552               -2.70001e+07             -4.29635e+06             0
          101.33                -2.7864e+07             -6.47332e+06             0
         102.111               -2.61388e+07              -3.4631e+06             0
         102.895               -2.72554e+07             -6.13464e+06             0
         103.682               -2.62458e+07             -4.54549e+06             0
         104.472               -2.56514e+07             -3.78213e+06             0
         105.265               -2.70993e+07             -7.10012e+06             0
         106.061               -2.46634e+07             -2.64091e+06             0
          106.86               -2.52416e+07             -4.20847e+06             0
         107.662               -2.64678e+07             -7.06755e+06             0
         108.467               -2.50196e+07             -4.56972e+06             0
         109.275               -2.36138e+07              -2.1518e+06             0
         110.085               -2.38577e+07             -3.03047e+06             0
         110.899               -2.47147e+07             -5.13151e+06             0
         111.716               -2.51646e+07             -6.41284e+06             0
         112.536               -2.51025e+07             -6.66513e+06             0
         113.359               -2.48169e+07             -6.46562e+06             0
         114.185               -2.45445e+07             -6.28822e+06             0
         115.014               -2.43704e+07             -6.30302e+06             0
         115.846               -2.42404e+07             -6.40166e+06             0
         116.681               -2.39585e+07             -6.19213e+06             0
         117.519               -2.32468e+07             -5.11853e+06             0
          118.36               -2.20816e+07             -3.13287e+06             0
         119.204               -2.12193e+07             -1.74964e+06             0
         120.051               -2.17769e+07              -3.2037e+06             0
           120.9               -2.29569e+07             -5.89939e+06             0
         121.753                -2.2023e+07             -4.36093e+06             0
         122.609               -2.05076e+07             -1.65489e+06             0
         123.468               -2.20553e+07             -5.07493e+06             0
          124.33               -2.13739e+07             -4.03069e+06             0
         125.195               -2.03205e+07             -2.23784e+06             0
         126.063               -2.18239e+07             -5.55847e+06             0
         126.934               -1.96792e+07              -1.5747e+06             0
         127.808               -2.15287e+07             -5.58092e+06             0
         128.685                -1.9428e+07             -1.67822e+06             0
         129.564               -2.08501e+07             -4.82229e+06             0
